no,name,gubun,do,sigungu,address,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입,longitude,latitude
3753,노섬브리아 야영장,민간,강원도,횡성군,강원 횡성군 둔내면 청태산로154번길 220-40,8,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2022.12.5,개별,"전기,무선인터넷,장작판매",계곡 물놀이,0,0,0,0,"봄꽃여행,가을단풍명소,겨울눈꽃명소",,불가능,,
3754,비니비니글램핑,민간,경기도,포천시,경기 포천시 내촌면 금강로 2625-37,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2022.12.7,개별,"전기,무선인터넷,장작판매,운동시설",,0,0,0,0,겨울눈꽃명소,,불가능,,
3755,하동노량투다리오토캠핑장,민간,경상남도,하동군,경남 하동군 금남면 노량해안길 129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.12.12,,,,0,0,0,0,,,,,
3756,비토애 럭셔리글램핑 나주점,민간,전라남도,나주시,전남 나주시 산포면 산남로 67-47,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2022.12.12,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","계곡 물놀이,산책로,낚시,어린이놀이시설",17,0,0,17,여름물놀이,,불가능,,
3757,통영에코파크,민간,경상남도,통영시,경남 통영시 산양읍 연대길 123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.12.13,개별,,,0,0,0,0,,,불가능,,
3758,레이크202 캠핑장,민간,경기도,안성시,경기 안성시 죽산면 용설호수길 202,0,26,4,0,0,0,0,0,0,0,0,0,25,1,0,2022.12.13,개별,"전기,무선인터넷,장작판매,온수,물놀이장",낚시,0,0,0,0,봄꽃여행,,가능,,
3759,낭성 캠핑장,민간,충청북도,청주시,충북 청주시 상당구 낭성면 호정전하울길 99-50,0,0,0,0,0,0,0,0,0,0,0,0,6,5,12,2022.12.16,,"전기,무선인터넷,장작판매,물놀이장,운동시설,마트_편의점",산책로,20,0,0,0,"봄꽃여행,여름물놀이",,가능,,
3760,하늘아래 캠핑,민간,충청남도,보령시,충남 보령시 오천면 원산도6길 47-70,0,4,0,2,0,0,0,0,0,0,0,0,4,0,0,2022.12.16,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터","산책로,수상레저,낚시,해수욕,청소년체험시설",4,0,0,2,"일몰명소,수상레저,낚시,여름물놀이,걷기길",,가능(소형견),,
3761,해송캠핑장,민간,인천광역시,옹진군,인천 옹진군 영흥면 선재로116번길 159,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2022.12.19,개별,,,0,0,0,0,,,불가능,,
3762,타닥타닥캠핑장,민간,충청북도,괴산군,충북 괴산군 청천면 도경로후영5길 79-5,11,11,0,0,0,0,0,0,0,0,0,0,11,0,0,2022.12.22,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","계곡 물놀이,산책로,어린이놀이시설",6,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",,가능(소형견),,
3763,스토리숲(story숲),민간,경기도,포천시,경기 포천시 화현면 봉화로 201-80,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,2022.12.20,개별,"전기,무선인터넷,장작판매,물놀이장,운동시설",,0,0,0,0,"가을단풍명소,겨울눈꽃명소",,가능,,
3764,별품은 숲속 캠핑장,민간,경상북도,칠곡군,경북 칠곡군 동명면 구남로 309,0,17,0,0,0,0,0,0,0,0,0,0,4,7,4,2022.12.20,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","계곡 물놀이,산책로",9,0,0,0,걷기길,,,,
3765,웰빙문화테마마을,지자체,경상북도,영덕군,영덕군 남정면 남호리 산26번지,11,0,0,5,0,0,0,0,0,0,0,0,11,0,0,2022.12.20,,,,0,0,0,0,,,,,
3766,고흥만 수변노을공원 오토캠핑장,지자체,전라남도,고흥군,전남 고흥군 도덕면 고흥만로 1106,90,0,0,0,0,0,6,8,0,8,12,0,70,20,0,2024.9.4,개별,"전기,온수,산책로,운동장,운동시설",,90,0,0,0,"일몰명소,수상레저,액티비티,여름물놀이,걷기길",,가능,,
3767,세제골농원 숲속야영장,민간,충청남도,아산시,충남 아산시 영인면 윤보선로 52-16,0,30,0,0,0,0,0,0,0,0,0,0,26,4,0,2022.12.20,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점","산책로,청소년체험시설,어린이놀이시설",0,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소,걷기길",,가능,,
3768,쌍근오토캠핑장,지자체,경상남도,거제시,경남 거제시 남부면 남부해안로 1054,16,0,0,0,0,0,5,0,0,7,0,0,16,0,0,2022.12.21,,,,0,0,0,0,,,,,
3769,가평 아이섬 풀 글램핑,민간,경기도,가평군,경기 가평군 북면 꽃넘이길 115-115,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2022.12.22,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",계곡 물놀이,0,0,0,0,"여름물놀이,가을단풍명소",,가능(소형견),,
3770,원더풀 글램핑 앤 카라반,민간,경기도,가평군,경기 가평군 상면 임초밤안골로 117-27,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,2022.12.22,,,,0,0,0,0,,,,,
