no,name,gubun,do,sigungu,address,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입,longitude,latitude
3432,가든글램핑 캠핑장,민간,충청남도,태안군,충남 태안군 원북면 신두로 690-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020.12.28,개별,,,0,0,0,0,,,불가능,126.1899269,36.83642799
3433,엣더몬,민간,경기도,가평군,경기 가평군 상면 원흥길 52-127,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2021.6.7,개별,,,0,0,0,0,,,불가능,127.322241,37.82024989
3434,우니메이카 강화점,민간,인천광역시,강화군,인천 강화군 하점면 창후로228번길 26-16,23,0,0,0,0,,0,0,0,0,0,0,0,0,0,2022.6.17,개별,"전기,무선인터넷,장작판매,온수,산책로,마트_편의점",산책로,30,2,0,3,,,가능(소형견),126.3638798,37.76877294
3435,힐링캠핑야영장,민간,충청남도,태안군,충남 태안군 소원면 연들길 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.5.31,개별,,,0,0,0,0,,,불가능,126.1385369,36.75230955
3436,잣숲캠핑장,민간,경기도,포천시,경기 포천시 신북면 지동길 114-13,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2019.8.29,개별,,,0,0,0,0,,,불가능,127.120581,37.93794854
3437,파인벨리펜션 글램핑,민간,경기도,포천시,경기 포천시 화현면 봉화로 315-97,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2020.1.7,개별,,,0,0,0,0,,,불가능,127.274064,37.87506465
3439,윈드힐캠핑장,민간,인천광역시,강화군,인천 강화군 화도면 해안남로 1145-1,0,12,0,5,0,0,0,0,0,0,0,0,8,0,0,2022.6.2,개별,"전기,무선인터넷,장작판매,온수,물놀이장","낚시,해수욕",0,0,0,0,"일몰명소,낚시",,가능,126.4572567,37.6136648
3440,청도자연휴양림,자연휴양림,경상북도,청도군,경북 청도군 각북면 비슬산길 111-25,12,20,0,0,0,0,0,0,0,0,0,0,12,20,0,2022.6.17,불가,"전기,온수,놀이터","계곡 물놀이,산책로",16,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소,걷기길",,불가능,128.549797,35.70899662
3441,라라랜드,민간,충청남도,금산군,충남 금산군 제원면 신안사로 487,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2022.6.2,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설","계곡 물놀이,산책로,어린이놀이시설",7,0,0,7,"봄꽃여행,여름물놀이,가을단풍명소",,가능,127.5539625,36.1612292
3442,또보리 캠프,민간,강원도,횡성군,강원도 횡성군 서원면 옥계리 167-3 ,0,14,0,0,0,0,0,0,0,0,0,0,14,0,0,2022.6.2,개별,"전기,장작판매,운동시설",계곡 물놀이,0,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소",,가능,127.8624313,37.41907862
