no,name,gubun,do,sigungu,address,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입,longitude,latitude
4521,인주캠핑장,민간,충청남도,아산시,충남 아산시 인주면 대음북길 39,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.18,개별,"무선인터넷,마트_편의점",,0,0,0,0,,,불가능,126.852669716608,36.8531237519155
4522,서현농원 야영장,민간,경기도,의왕시,경기 의왕시 왕림길 85-1 (왕곡동),17,0,0,0,0,0.0,6,4,5,6,8,7,15,1,1,2024.7.18,개별,"장작판매,산책로",,11,0,0,20,,,불가능,126.989530610871,37.3434212122147
4523,대부도(영흥도)산촌카라반,민간,인천광역시,옹진군,인천 옹진군 영흥면 영흥남로 138-38,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.18,개별,,,0,0,0,0,,,불가능,126.463080020994,37.2452491719858
4524,거목 글램핑,민간,전라남도,담양군,전남 담양군 용면 가마골로 394,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.19,,,,0,0,0,0,,,,127.031845266738,35.4251392604024
4525,고기팜키즈캠핑장,민간,경상북도,경주시,경북 경주시 대추밭안길 128-36 (조양동),0,0,11,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.22,개별,"전기,무선인터넷,온수,물놀이장,산책로,운동장,마트_편의점","산책로,운동장",12,3,1,11,,,가능(소형견),129.284069571387,35.7731754459789
4526,청포대민박 야영장,민간,충청남도,태안군,충청남도 태안군 남면 원청리 564-9 ,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.22,개별,,,0,0,0,0,,,불가능,126.301704297012,36.6342120305512
4527,솔맹이캠핑장,민간,충청북도,괴산군,충북 괴산군 청천면 문장로 3097-1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.22,개별,,,0,0,0,0,,,가능,127.8625882528,36.6711218595504
4528,에이디디(ADD)캠핑장,민간,경상남도,사천시,경남 사천시 서포면 사천대교로 334,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.23,개별,,,0,0,0,0,,,불가능,128.018163080482,35.0064116055965
4529,해변 야영장,민간,전라남도,완도군,전남 완도군 신지면 명사십리길 85-91,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.23,개별,,,0,0,0,0,,,불가능,126.808137042191,34.3273901449615
4530,도깨비캠핑장,민간,충청남도,공주시,충남 공주시 의당면 요골길 46-5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.23,개별,,,0,0,0,0,,,불가능,127.136532134513,36.5244548218828
4531,별빛스테이,민간,강원도,영월군,강원특별자치도 영월군 영월읍 둥글바위길 5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.23,개별,,,0,0,0,0,,,불가능,128.506668532926,37.2006325484057
4532,안성용설호 관광농원 야영장,민간,경기도,안성시,경기 안성시 죽산면 용설호수길 131-34,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.23,개별,,,0,0,0,0,,,불가능,127.454054247527,37.0531613213747
4533,코티지 캠핑,민간,제주특별자치도,서귀포시,제주특별자치도 서귀포시 안덕면 감산서로 55,0,0,8,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.23,개별,"전기,무선인터넷,장작판매,온수,물놀이장,마트_편의점","계곡 물놀이,산책로,운동장",10,8,1,10,,,불가능,126.349737076632,33.2583203833306
4534,라니카이,민간,충청남도,태안군,충청남도 태안군 원북면 방갈리 515-31 ,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.24,개별,,,0,0,0,0,,,불가능,126.211957890479,36.8984746589873
4535,남양관광농원,민간,경기도,용인시,경기도 용인시 처인구 포곡읍 삼계리 675 ,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.24,개별,,,0,0,0,0,,,불가능,127.236020754336,37.2934394648665
4536,에버오토캠핑장,민간,경기도,용인시,경기도 용인시 처인구 포곡읍 삼계리 677 ,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.24,개별,,,0,0,0,0,,,불가능,127.236937029468,37.292450099087
4537,조이파크,민간,경기도,양평군,경기 양평군 용문면 용문삼성로20번길 73-2,0,7,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.25,개별,"전기,무선인터넷,장작판매,온수,물놀이장,마트_편의점","산책로,낚시,강/물놀이",11,1,1,3,,,불가능,127.565008782393,37.4676367311438
4538,수락 힐스테이,민간,전라남도,구례군,전남 구례군 산동면 수락길 71,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.26,,,,0,0,0,0,,,,127.458417648406,35.3466759860144
4539,썬스테이,민간,경기도,안산시,경기 안산시 단원구 천신로1길 61 (대부남동),0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.29,개별,,,0,0,0,0,,,불가능,126.555693939642,37.2195945597185
4540,해달별 캠핑장,민간,경상남도,하동군,경남 하동군 고전면 공설운동장로 626,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.30,개별,,,0,0,0,0,,,불가능,127.786463331223,35.0304004308732
4541,달산 글램핑,민간,충청남도,태안군,충청남도 태안군 남면 달산리 1302-16,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.30,개별,,,0,0,0,0,,,불가능,126.29951478635,36.6835352968228
4542,포림관광농원,민간,경상남도,함안군,경남 함안군 여항면 진함로 797,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.31,개별,,,0,0,0,0,,,가능,128.461221123033,35.1870969006853
4543,두물머리 IC 캠핑장,민간,경기도,양평군,경기 양평군 양서면 목왕로617번길 30-5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.31,개별,,,0,0,0,0,,,불가능,127.379577200413,37.5629700271553
4544,원더랜드,민간,경상남도,김해시,경남 김해시 상동면 여차로 552-40,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.4.26,개별,,,0,0,0,0,,,불가능,128.903939185753,35.3481419742792
4545,렛 힐리스 아트캠핑,민간,경상남도,산청군,경남 산청군 금서면 동의보감로312번가길 141-70,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2020.5.25,개별,,,0,0,0,0,,,불가능,127.851459310851,35.4494438406506
4546,봄이네 캠핑장,민간,강원도,횡성군,강원특별자치도 횡성군 서원면 옥계6길 25,20,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.31,개별,"전기,장작판매,온수,마트_편의점","계곡 물놀이,산책로,강/물놀이",20,0,0,0,,,가능(소형견),127.853455535203,37.4376362334469
4547,정담은 캠핑&글램핑,민간,전라남도,장성군,전남 장성군 북하면 남창로 407,6,0,10,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.8.7,개별,"전기,무선인터넷,장작판매,물놀이장,마트_편의점","계곡 물놀이,산책로,운동장,강/물놀이,청소년체험시설,농어촌체험시설",40,1,0,20,"액티비티,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",화로대,가능(소형견),126.840693256155,35.4595089562915
4548,너아라 캠핑장,민간,인천광역시,옹진군,인천 옹진군 영흥면 영흥서로 238,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.8.8,개별,,,0,0,0,0,,,가능,126.477194233209,37.275360505385
